sign_a,sign_b,pmi_score,co_occurrence_count
28,130,1.885737,3
137,343,1.868824,4
98,130,1.865273,5
8,17,1.861875,8
192,328,1.86068,6
72,222,1.860202,4
261,391,1.851157,4
149,344,1.851157,3
72,254,1.849396,14
99,304,1.848448,7
53,344,1.841697,4
65,233,1.834924,5
59,233,1.833939,8
28,70,1.832298,3
15,130,1.822728,8
99,113,1.822453,11
18,87,1.809527,8
171,293,1.792021,15
112,169,1.791656,14
65,134,1.789836,3
98,150,1.779413,4
249,389,1.774544,20
97,104,1.774154,6
89,381,1.769961,4
89,192,1.769961,5
12,124,1.768765,6
124,284,1.768765,3
123,343,1.764716,28
87,261,1.761272,7
344,403,1.759235,3
1,307,1.758472,7
1,375,1.752571,4
59,182,1.748209,14
233,389,1.743293,3
344,387,1.741533,3
70,150,1.732763,3
176,250,1.727962,4
162,343,1.725089,30
15,102,1.72176,19
150,293,1.719706,6
8,48,1.71884,15
123,294,1.715134,7
65,249,1.714172,30
51,171,1.712713,11
135,347,1.711929,3
51,389,1.709346,12
267,402,1.706767,31
249,293,1.69849,18
104,345,1.698205,3
97,391,1.696986,14
100,293,1.687998,3
176,379,1.684893,6
66,336,1.681232,4
210,389,1.676179,3
175,343,1.676179,7
59,211,1.675563,71
211,336,1.674279,46
216,294,1.667239,3
48,176,1.660146,51
249,261,1.660016,3
149,249,1.660016,12
54,162,1.656141,3
211,242,1.650184,5
72,326,1.648698,6
155,343,1.642232,7
59,386,1.641294,3
18,59,1.641294,7
294,343,1.636651,6
48,373,1.636378,7
89,296,1.632458,10
72,389,1.630083,21
149,216,1.628765,6
97,402,1.626597,7
60,293,1.626597,3
171,211,1.622962,25
121,336,1.618496,10
72,211,1.617144,37
106,162,1.615499,7
98,336,1.608301,15
67,211,1.605096,54
28,51,1.602431,4
136,176,1.602431,5
15,86,1.596452,16
149,402,1.588123,7
162,242,1.585752,4
99,153,1.585414,7
99,400,1.585414,7
70,389,1.576643,7
186,391,1.575523,4
205,245,1.575523,3
109,211,1.573732,7
17,407,1.570826,3
98,182,1.570826,3
98,252,1.570826,3
98,345,1.570826,3
51,155,1.568483,4
252,336,1.565755,8
293,389,1.563587,14
99,415,1.555666,4
67,381,1.550648,3
98,347,1.539462,7
53,294,1.539134,4
180,403,1.536842,3
1,65,1.536079,18
155,204,1.535316,3
89,407,1.528953,11
86,197,1.528217,6
186,211,1.518939,5
53,121,1.515927,5
99,286,1.515024,5
97,182,1.51112,3
171,389,1.509621,13
2,176,1.509321,5
169,345,1.506254,8
296,389,1.506254,4
59,173,1.50379,10
99,348,1.500525,11
59,130,1.498336,16
47,211,1.498181,3
65,67,1.49438,44
336,387,1.493605,16
104,150,1.491754,3
40,176,1.486953,4
287,402,1.484375,6
51,249,1.481679,12
86,319,1.466817,3
98,402,1.463911,6
135,293,1.456672,3
155,347,1.455589,4
123,149,1.454267,12
87,294,1.451823,11
51,375,1.450428,3
171,341,1.446885,5
177,328,1.445643,6
76,267,1.444449,4
294,387,1.43897,3
72,216,1.438279,11
87,284,1.43631,10
67,139,1.435171,3
124,155,1.429963,3
102,162,1.424816,23
65,254,1.424186,12
70,112,1.417261,3
53,59,1.411812,29
267,348,1.407923,6
93,267,1.407923,3
72,182,1.40769,6
53,124,1.406195,7
99,180,1.403663,18
123,197,1.401025,7
87,180,1.394489,10
8,102,1.394238,11
70,336,1.391726,10
8,391,1.390134,13
8,294,1.387131,3
127,343,1.386672,6
121,254,1.385297,3
123,391,1.380267,24
123,348,1.380267,3
12,86,1.379354,8
17,102,1.364375,9
17,150,1.364375,3
99,391,1.363021,80
9,99,1.363021,5
99,381,1.363021,6
99,206,1.363021,3
62,99,1.363021,5
87,155,1.360542,12
249,345,1.359507,5
171,344,1.357618,3
89,177,1.354924,5
81,87,1.353847,5
347,403,1.349359,7
25,102,1.344197,6
245,341,1.342862,5
53,72,1.342595,15
293,345,1.341195,4
15,294,1.341195,4
267,375,1.337534,10
97,127,1.33709,3
1,67,1.333417,20
249,343,1.333034,18
17,197,1.332666,3
197,343,1.322542,6
100,343,1.322542,3
186,343,1.322542,3
53,155,1.322323,4
194,287,1.322103,3
87,328,1.320992,82
121,389,1.317987,5
8,343,1.311182,11
8,252,1.311182,3
155,267,1.303586,12
66,267,1.296892,5
51,345,1.294308,3
65,72,1.29287,26
180,391,1.29173,5
121,343,1.291515,6
59,186,1.287657,6
15,25,1.287614,5
99,222,1.285019,9
70,99,1.282101,26
171,249,1.281954,13
65,294,1.280822,6
1,8,1.279818,7
130,244,1.278055,3
358,389,1.27763,3
102,373,1.273808,5
25,98,1.271266,3
211,387,1.269912,15
67,407,1.265246,8
293,327,1.257363,3
109,293,1.257363,3
59,121,1.25663,12
28,387,1.256106,3
245,344,1.253595,3
76,99,1.247544,6
169,287,1.247336,12
12,249,1.235518,8
130,169,1.233661,9
87,194,1.232218,12
65,169,1.230153,31
59,153,1.226256,3
59,381,1.226256,3
53,197,1.225026,4
97,293,1.224499,7
296,342,1.223796,33
342,358,1.223796,29
289,342,1.223796,5
62,342,1.223796,10
111,342,1.223796,4
132,342,1.223796,3
340,342,1.223796,5
225,342,1.223796,3
217,342,1.223796,5
327,336,1.218889,5
12,162,1.212535,10
109,245,1.206289,3
87,381,1.201844,3
249,307,1.199598,7
135,267,1.197356,7
123,130,1.196667,7
65,336,1.193438,29
66,99,1.193096,8
99,303,1.193096,4
51,59,1.192309,21
28,343,1.190752,5
66,89,1.184999,4
99,155,1.184684,19
2,328,1.182608,4
15,327,1.181414,3
100,123,1.178633,3
342,347,1.17649,90
155,169,1.172746,7
162,402,1.170714,12
162,375,1.170714,5
18,162,1.170714,3
51,98,1.166929,5
194,211,1.165984,8
99,186,1.161387,10
17,336,1.160842,11
65,121,1.158079,7
72,327,1.153934,4
342,348,1.149796,19
89,211,1.146337,45
153,267,1.144888,3
205,267,1.144888,6
70,123,1.143227,7
99,233,1.140629,9
19,99,1.140629,3
28,99,1.140629,18
99,242,1.140629,9
