from_sign,to_sign,count,P(to|from)
123,387,4,0.025641
123,345,4,0.025641
123,98,4,0.025641
123,48,4,0.025641
389,53,3,0.02521
72,65,4,0.025157
72,249,4,0.025157
72,62,4,0.025157
99,124,12,0.023077
99,59,12,0.023077
99,98,12,0.023077
249,343,3,0.023077
249,342,3,0.023077
99,86,12,0.023077
249,89,3,0.023077
59,72,6,0.022472
59,249,6,0.022472
59,347,6,0.022472
59,59,6,0.022472
65,53,4,0.022099
65,87,4,0.022099
245,343,3,0.021583
245,99,3,0.021583
245,344,3,0.021583
67,403,5,0.021459
67,121,5,0.021459
67,59,5,0.021459
67,294,5,0.021459
336,347,4,0.02139
336,342,4,0.02139
336,275,4,0.02139
343,106,3,0.021277
343,100,3,0.021277
343,294,3,0.021277
343,171,3,0.021277
343,389,3,0.021277
343,391,3,0.021277
99,336,11,0.021154
99,113,11,0.021154
342,12,8,0.020997
87,244,6,0.020478
87,294,6,0.020478
89,89,5,0.019305
99,171,10,0.019231
391,98,3,0.019231
123,124,3,0.019231
391,342,3,0.019231
123,342,3,0.019231
123,336,3,0.019231
123,53,3,0.019231
123,104,3,0.019231
72,388,3,0.018868
72,222,3,0.018868
72,403,3,0.018868
72,67,3,0.018868
72,87,3,0.018868
72,387,3,0.018868
72,194,3,0.018868
59,53,5,0.018727
59,155,5,0.018727
59,112,5,0.018727
342,242,7,0.018373
67,296,4,0.017167
67,51,4,0.017167
67,12,4,0.017167
67,204,4,0.017167
87,326,5,0.017065
87,403,5,0.017065
87,162,5,0.017065
65,8,3,0.016575
65,70,3,0.016575
336,162,3,0.016043
89,216,4,0.015444
99,175,8,0.015385
59,296,4,0.014981
59,51,4,0.014981
59,8,4,0.014981
59,341,4,0.014981
87,97,4,0.013652
99,112,7,0.013462
99,172,7,0.013462
267,89,4,0.013245
342,224,5,0.013123
342,97,5,0.013123
67,65,3,0.012876
67,127,3,0.012876
67,389,3,0.012876
89,381,3,0.011583
89,347,3,0.011583
89,112,3,0.011583
99,204,6,0.011538
99,106,6,0.011538
99,66,6,0.011538
59,407,3,0.011236
59,65,3,0.011236
59,121,3,0.011236
59,327,3,0.011236
59,70,3,0.011236
342,17,4,0.010499
342,87,4,0.010499
342,124,4,0.010499
342,373,4,0.010499
342,93,4,0.010499
87,28,3,0.010239
87,373,3,0.010239
87,322,3,0.010239
87,261,3,0.010239
267,343,3,0.009934
99,109,5,0.009615
99,249,5,0.009615
99,51,5,0.009615
342,89,3,0.007874
342,216,3,0.007874
342,402,3,0.007874
342,388,3,0.007874
99,121,4,0.007692
99,173,4,0.007692
99,155,4,0.007692
99,375,4,0.007692
99,9,4,0.007692
99,40,4,0.007692
99,153,3,0.005769
99,15,3,0.005769
99,348,3,0.005769
99,341,3,0.005769
99,47,3,0.005769
