sign,count,initial_rate,terminal_rate,medial_rate
229,4,0.0,0.0,1.0
334,4,0.25,0.0,0.75
126,4,0.25,0.25,0.5
56,4,0.0,0.5,0.5
195,4,0.25,0.0,0.75
322,4,0.0,0.0,1.0
380,4,0.0,0.0,1.0
161,4,0.25,0.5,0.25
69,4,0.75,0.5,0.0
198,4,0.5,0.0,0.5
256,4,0.25,0.0,0.75
129,4,0.25,0.0,0.75
45,4,0.75,0.25,0.0
141,4,0.0,0.25,0.75
275,4,0.0,1.0,0.0
158,3,0.3333,0.3333,0.3333
311,3,1.0,0.0,0.0
108,3,0.6667,0.0,0.3333
371,3,0.3333,0.0,0.6667
282,3,0.0,1.0,0.0
83,3,0.3333,0.3333,0.3333
221,3,1.0,0.0,0.0
132,3,0.0,0.3333,0.6667
80,3,0.6667,0.0,0.3333
146,3,1.0,0.3333,0.0
305,3,1.0,0.0,0.0
225,3,0.3333,0.0,0.6667
268,3,0.0,0.0,1.0
272,3,0.3333,0.6667,0.0
290,3,0.6667,0.0,0.3333
22,3,0.3333,0.0,0.6667
35,3,0.6667,0.0,0.3333
363,3,1.0,1.0,0.0
138,3,0.6667,0.3333,0.0
188,3,0.3333,0.0,0.6667
337,3,1.0,0.0,0.0
365,3,0.6667,0.0,0.3333
34,2,1.0,0.0,0.0
27,2,1.0,0.0,0.0
181,2,0.5,0.0,0.5
257,2,0.0,0.0,1.0
31,2,1.0,1.0,0.0
5,2,0.0,1.0,0.0
4,2,0.5,0.5,0.0
49,2,0.0,0.0,1.0
120,2,1.0,0.0,0.0
159,2,0.5,0.0,0.5
187,2,0.0,0.0,1.0
140,2,0.0,0.5,0.5
394,2,0.5,0.0,0.5
74,2,0.0,0.0,1.0
309,2,0.0,0.0,1.0
259,2,0.0,0.0,1.0
240,2,0.5,0.0,0.5
29,2,0.5,0.5,0.0
333,2,0.5,0.0,0.5
213,2,0.5,0.5,0.0
36,2,0.0,0.0,1.0
90,2,1.0,0.0,0.0
203,2,1.0,0.0,0.0
390,2,0.0,0.5,0.5
11,2,0.5,0.0,0.5
332,2,0.0,0.0,1.0
30,2,0.5,0.5,0.0
105,2,0.0,0.0,1.0
64,2,0.0,0.0,1.0
91,2,0.0,1.0,0.0
362,2,1.0,1.0,0.0
312,2,0.5,0.5,0.0
359,2,0.0,0.0,1.0
283,2,0.5,0.5,0.0
346,2,1.0,1.0,0.0
364,2,1.0,0.5,0.0
335,2,1.0,0.0,0.0
77,2,0.5,0.0,0.5
416,2,1.0,0.0,0.0
44,2,1.0,1.0,0.0
368,2,0.0,0.0,1.0
280,2,0.5,0.5,0.0
276,2,0.5,0.5,0.0
24,2,0.0,0.5,0.5
313,2,1.0,0.5,0.0
324,2,0.0,0.0,1.0
21,2,0.0,0.0,1.0
396,1,0.0,0.0,1.0
82,1,0.0,0.0,1.0
266,1,0.0,1.0,0.0
133,1,1.0,0.0,0.0
349,1,0.0,0.0,1.0
164,1,1.0,0.0,0.0
79,1,1.0,0.0,0.0
265,1,1.0,0.0,0.0
154,1,0.0,0.0,1.0
316,1,0.0,1.0,0.0
207,1,0.0,1.0,0.0
355,1,1.0,0.0,0.0
39,1,0.0,0.0,1.0
37,1,1.0,0.0,0.0
61,1,0.0,0.0,1.0
165,1,1.0,1.0,0.0
179,1,0.0,0.0,1.0
360,1,0.0,0.0,1.0
156,1,0.0,0.0,1.0
318,1,0.0,1.0,0.0
101,1,1.0,0.0,0.0
88,1,1.0,1.0,0.0
288,1,0.0,0.0,1.0
144,1,0.0,1.0,0.0
377,1,1.0,1.0,0.0
143,1,1.0,0.0,0.0
147,1,1.0,0.0,0.0
208,1,1.0,0.0,0.0
23,1,1.0,0.0,0.0
338,1,0.0,0.0,1.0
255,1,1.0,0.0,0.0
372,1,1.0,0.0,0.0
392,1,1.0,1.0,0.0
235,1,0.0,1.0,0.0
306,1,1.0,0.0,0.0
26,1,1.0,0.0,0.0
271,1,1.0,0.0,0.0
152,1,1.0,0.0,0.0
20,1,1.0,0.0,0.0
310,1,0.0,0.0,1.0
279,1,0.0,0.0,1.0
231,1,0.0,1.0,0.0
408,1,1.0,1.0,0.0
350,1,1.0,0.0,0.0
285,1,1.0,0.0,0.0
191,1,1.0,0.0,0.0
357,1,0.0,0.0,1.0
13,1,0.0,1.0,0.0
52,1,0.0,1.0,0.0
16,1,1.0,0.0,0.0
200,1,1.0,0.0,0.0
151,1,1.0,0.0,0.0
399,1,1.0,0.0,0.0
196,1,1.0,0.0,0.0
291,1,1.0,0.0,0.0
260,1,0.0,0.0,1.0
352,1,0.0,0.0,1.0
383,1,1.0,0.0,0.0
405,1,1.0,1.0,0.0
315,1,0.0,1.0,0.0
145,1,0.0,0.0,1.0
218,1,1.0,0.0,0.0
199,1,1.0,0.0,0.0
366,1,1.0,0.0,0.0
300,1,1.0,0.0,0.0
273,1,0.0,0.0,1.0
116,1,1.0,0.0,0.0
122,1,1.0,0.0,0.0
85,1,1.0,1.0,0.0
170,1,1.0,0.0,0.0
382,1,0.0,0.0,1.0
281,1,1.0,0.0,0.0
385,1,0.0,0.0,1.0
413,1,0.0,1.0,0.0
241,1,1.0,0.0,0.0
42,1,1.0,0.0,0.0
46,1,0.0,1.0,0.0
148,1,0.0,0.0,1.0
33,1,0.0,0.0,1.0
410,1,0.0,1.0,0.0
117,1,1.0,0.0,0.0
118,1,1.0,1.0,0.0
115,1,1.0,1.0,0.0
270,1,1.0,0.0,0.0
369,1,0.0,0.0,1.0
401,1,0.0,1.0,0.0
351,1,1.0,0.0,0.0
314,1,0.0,0.0,1.0
248,1,1.0,0.0,0.0
246,1,1.0,0.0,0.0
320,1,1.0,0.0,0.0
168,1,0.0,1.0,0.0
361,1,1.0,0.0,0.0
274,1,0.0,1.0,0.0
278,1,0.0,1.0,0.0
356,1,0.0,0.0,1.0
370,1,0.0,0.0,1.0
308,1,0.0,0.0,1.0
269,1,1.0,1.0,0.0
166,1,0.0,1.0,0.0
414,1,0.0,0.0,1.0
43,1,1.0,0.0,0.0
185,1,0.0,0.0,1.0
